-----------------------------------------------																							
ace.map QC reference file generated Fri Apr 13 18:06:21 CEST 2007																							
ace.map QC version: 1.0																							
http://www.iri.cnrs.fr/seg																							
-----------------------------------------------																							

File	s-range	s1-weight	s1-mean	s1-var	s1-x0	s2-weight	s2-mean	s2-var	s2-x0	v-range	vb-x_offset	vb-slope	v1-x0	v1-m	v1-v	v2m-y_offset	v2m-scale	v2m-x_offset	v2m-slope	v2v-y_offset	v2v-scale	v2v-x_offset	v2v-slope
051204050722bell_050130-1426.ma0	999.3676	0.4850	0.4639	0.4049	0.0000	0.5150	5.1403	2.2604	0.8100	84.7800	-0.2424	-1.6454	0.3350	0.4982	1.4762	-2.9621	3.8348	0.1155	-1.0569	0.0285	0.1067	2.0573	-1.6088
051204050722bell_050130-1441.ma0	1046.5777	0.3280	0.4459	0.5009	0.0000	0.6720	2.8728	2.4549	0.2400	69.9700	-0.2826	-1.6245	0.3350	0.4343	1.4976	-3.0898	3.9571	0.0838	-1.0194	0.0134	0.1338	2.4046	-2.5297
051204050722bell_050130-1457.ma0	1090.0093	0.4197	0.3722	0.3916	0.0000	0.5803	4.0697	2.2967	0.6000	60.4400	-0.6057	-1.9557	0.3350	0.3200	1.5171	-2.7530	3.4097	-0.0758	-1.1834	0.0550	0.0819	1.9602	-1.4495
051204050722bell_050130-1512.ma0	1147.0001	0.3411	0.4739	0.4725	0.0000	0.6589	2.9736	2.3812	0.2400	55.7900	-0.3799	-2.2726	0.3350	0.1682	1.5585	-2.9303	3.4357	0.2579	-1.1925	0.0783	0.0634	2.8754	-0.8564
051204050722bell_050130-1528.ma0	929.2641	0.4107	0.3287	0.3928	0.0000	0.5893	4.2640	2.2857	0.5700	59.1000	-0.6661	-1.9271	0.3350	0.2138	1.5719	-2.6963	3.6388	-0.3653	-1.1305	0.0156	0.1147	1.4689	-1.5658
051204050722bell_050130-1544.ma0	892.7404	0.4163	0.3354	0.3916	0.0000	0.5837	3.8356	2.2192	0.6000	53.9500	-0.7358	-3.0282	0.3350	0.2319	1.5007	-2.9967	3.5338	-0.0178	-1.0713	0.2385	-0.1357	2.3238	-1.6619
051204050722bell_050130-1559.ma0	897.7265	0.4415	0.3349	0.4551	0.0000	0.5585	4.6976	2.2230	0.6300	53.5400	-0.6025	-2.3177	0.3350	0.1987	1.5102	-2.7529	3.3257	-0.1826	-1.1806	0.0555	0.1039	1.6605	-1.3840
051204050722bell_050130-1615.ma0	923.6075	0.4811	0.4259	0.4303	0.0000	0.5189	5.1061	2.1496	0.7800	73.1200	-0.3397	-3.7945	0.3350	0.2390	1.4683	-3.0983	3.2566	0.4724	-1.2048	0.0134	0.1326	1.8644	-2.5895
051204050722bell_HA002BJ.ma0	689.1350	0.4224	0.3378	0.3692	0.0000	0.5776	4.4685	2.2410	0.6000	65.0900	-0.5594	-1.7015	0.3350	0.2663	1.5582	-3.1528	4.0929	-0.1154	-0.9872	0.1182	-0.0134	-6.9721	2.1313
051204050722bell_HA002BKbis.ma0	982.5279	0.4092	0.3375	0.3679	0.0000	0.5908	4.3137	2.3045	0.5700	58.7200	-0.6710	-1.8725	0.3350	0.2471	1.5324	-3.0997	3.6852	0.0170	-1.1238	0.0146	0.1067	2.4071	-1.5366
051204050722bell_HA002JY.ma0	1020.6974	0.4707	0.4119	0.4542	0.0000	0.5293	4.4789	2.2175	0.7500	59.6700	-0.5877	-1.8645	0.3350	0.2141	1.5916	-2.9075	3.5589	0.0356	-1.1302	0.0098	0.1745	1.6796	-1.1871
051204050722bell_HA002JZ.ma0	941.7739	0.3890	0.5116	0.5386	0.0000	0.6110	3.3527	2.2878	0.2400	72.4000	-0.1530	-2.6588	0.3350	0.2404	1.4611	-2.8920	3.0221	0.4874	-1.2442	0.0577	0.1247	1.7550	-2.6619
051204050722bell_HA00667.ma0	753.7857	0.3989	0.2642	0.4667	0.0000	0.6011	4.0957	2.2123	0.4800	55.7400	-0.6465	-1.5112	0.3350	0.3661	1.4788	-3.3336	4.0248	-0.1966	-0.9771	0.0290	0.1565	2.4264	-2.2549
051204050722bell_HA00668bis.ma0	760.3121	0.3916	0.3318	0.3440	0.0000	0.6084	3.8047	2.2451	0.5100	52.9300	-0.6042	-1.8419	0.3350	0.2861	1.5255	-3.3336	4.2906	0.0192	-0.9699	0.0284	0.1029	2.1788	-1.3797
051204050722bell_HA008KB.ma0	1000.4547	0.3324	0.4168	0.6078	0.0000	0.6676	2.8120	2.3654	0.1800	49.9800	-0.4431	-2.6448	0.3350	0.0603	1.5279	-3.1032	3.1061	0.3591	-1.2053	0.0132	0.1634	1.9408	-2.0529
051204050722bell_HA008KT.ma0	922.5398	0.4860	0.4544	0.4190	0.0000	0.5140	4.7796	2.1553	0.8100	68.9200	-0.3646	-2.0294	0.3350	0.4660	1.4450	-3.1320	3.7132	0.3274	-1.1274	0.0259	0.1301	2.3302	-1.7524
051204050722bell_HA008KU.ma0	1029.1052	0.3458	0.4083	0.5781	0.0000	0.6542	3.1606	2.2998	0.1800	50.3000	-0.5081	-1.5424	0.3350	0.2192	1.5232	-3.1011	3.7768	-0.0371	-1.0305	0.0137	0.1983	2.2821	-1.3951
051204050722bell_HA008KY.ma0	1141.3628	0.4216	0.3449	0.4019	0.0000	0.5784	4.4141	2.3021	0.6000	63.5000	-0.5234	-1.5282	0.3350	0.2670	1.5588	-3.0862	4.1952	-0.2395	-0.9589	0.0169	0.1196	2.1789	-2.2794
051204050722elion_040617-1300.ma0	337.2978	0.5906	0.8404	0.4185	0.0000	0.4094	2.5303	2.1837	0.3300	84.6100	0.4236	-7.3139	0.3350	-0.0521	1.5208	-2.8630	2.5026	1.3740	-1.4157	0.0188	0.1779	1.4618	-0.9684
051204050722elion_040617-1331.ma0	425.9820	0.5249	0.7588	0.4751	0.0000	0.4751	2.8289	2.1733	0.3000	91.6900	0.4015	-4.8972	0.3350	0.0518	1.4914	-2.5793	2.1985	1.0905	-1.3851	0.0167	0.1060	1.8121	-3.1809
051204050722elion_040617-1421.ma0	930.8018	0.3749	0.4564	0.4943	0.0000	0.6251	4.6311	2.2799	0.1200	64.4700	-0.1795	-3.9858	0.3350	0.0705	1.4931	-3.1083	2.4516	0.9089	-1.3910	0.0126	0.1581	1.8732	-2.4696
051204050722elion_040720-1253.ma0	388.7336	0.5998	0.8214	0.5500	0.0000	0.4002	2.4969	2.1792	0.2100	92.2100	0.6084	-3.9658	0.3350	-0.0525	1.5400	-3.0284	2.0489	1.7503	-1.5728	0.0405	0.1255	2.3859	-4.1348
051204050722elion_041029-1219.ma0	378.8871	0.6074	0.7973	0.4696	0.0000	0.3926	3.1929	2.1358	0.4800	73.6900	0.2327	-3.4638	0.3350	0.0332	1.5478	-2.9845	3.3795	0.9417	-1.1838	0.0021	0.1615	2.0948	-1.6023
051204050722elion_041029-1305.ma0	337.1609	0.5957	0.8052	0.4887	0.0000	0.4043	3.2289	2.0470	0.2700	83.2500	0.2926	-3.2719	0.3350	0.0720	1.5365	-2.8890	3.1166	0.9391	-1.2236	0.0095	0.1709	2.1795	-2.0619
051204050722elion_041203-1305.ma0	32.3992	0.8628	0.9836	0.4699	0.0000	0.1372	1.0119	1.8569	0.3300	114.5600	0.6410	-4.9558	0.3350	0.0498	1.4838	-2.5195	1.8599	1.5922	-2.0106	0.4013	-0.3006	-3.8425	0.4582
